"No.","Time","Source","Destination","Protocol","Length","Info"
"51","13.569949749","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"52","13.573004505","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"53","13.574911874","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"54","13.578450209","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"55","13.578450518","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"56","13.578450556","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"57","13.578450595","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"58","13.578450624","142.250.207.14","192.168.56.105","QUIC","809","Protected Payload (KP0), DCID=61dfbc"
"59","13.578450650","142.250.207.14","192.168.56.105","QUIC","1394","Protected Payload (KP0), DCID=61dfbc"
"60","13.578450674","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"61","13.578450701","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"62","13.579138216","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"63","13.581678806","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"64","13.581679177","142.250.207.14","192.168.56.105","QUIC","687","Protected Payload (KP0), DCID=61dfbc"
